     index            Field [G]         Intensity []
       251     3294.43792766373             -3367837
       252     3294.53567937439             -3250610
       253     3294.63343108504             -3427873
       254      3294.7311827957             -3367293
       255     3294.82893450635             -3676310
       256     3294.92668621701             -3403219
       257     3295.02443792766             -3291319
       258     3295.12218963832             -3233296
       259     3295.21994134897             -3396108
       260     3295.31769305963             -3487324
       261     3295.41544477028             -3085351
       262     3295.51319648094             -2837812
       263     3295.61094819159             -3252310
       264     3295.70869990225             -3099621
       265      3295.8064516129             -3047081
       266     3295.90420332356             -2452058
       267     3296.00195503421             -2663446
       268     3296.09970674487             -2943318
       269     3296.19745845552             -2851550
       270     3296.29521016618             -2841272
       271     3296.39296187683             -2481919
       272     3296.49071358749             -2226700
       273     3296.58846529814             -1965308
       274      3296.6862170088             -2033715
       275     3296.78396871945             -2029533
       276     3296.88172043011             -2391172
       277     3296.97947214076             -1909738
       278     3297.07722385142             -1670967
       279     3297.17497556207             -1823187
       280     3297.27272727273             -1616432
       281     3297.37047898338             -1299621
       282     3297.46823069404             -1309722
       283     3297.56598240469             -1608463
       284     3297.66373411535             -1396983
       285       3297.761485826             -1231848
       286     3297.85923753666             -1193302
       287     3297.95698924731              -922972
       288     3298.05474095797              -760386
       289     3298.15249266862              -655027
       290     3298.25024437928              -158173
       291     3298.34799608993               -10506
       292     3298.44574780059               -41838
       293     3298.54349951124                21286
       294      3298.6412512219               371258
       295     3298.73900293255               979583
       296     3298.83675464321               758278
       297     3298.93450635386              1048930
       298     3299.03225806452              1111399
       299     3299.13000977517              1373640
       300     3299.22776148583              1677285
       301     3299.32551319648              1739638
       302     3299.42326490714              1959844
       303     3299.52101661779              2231676
       304     3299.61876832845              2393610
       305      3299.7165200391              2655985
       306     3299.81427174976              3005184
       307     3299.91202346041              3340485
       308     3300.00977517107              3639332
       309     3300.10752688172              4248954
       310     3300.20527859238              4721235
       311     3300.30303030303              5454688
       312     3300.40078201369              5550598
       313     3300.49853372434              5719159
       314       3300.596285435              6008112
       315     3300.69403714565              6844850
       316     3300.79178885631              7463964
       317     3300.88954056696              8097913
       318     3300.98729227761              8564927
       319     3301.08504398827              9143182
       320     3301.18279569892              9724497
       321     3301.28054740958              9769554
       322     3301.37829912023             10230638
       323     3301.47605083089             11068432
       324     3301.57380254154             11651314
       325      3301.6715542522             11851744
       326     3301.76930596285             12469419
       327     3301.86705767351             13312140
       328     3301.96480938416             13440585
       329     3302.06256109482             14274887
       330     3302.16031280547             15051211
       331     3302.25806451613             15808352
       332     3302.35581622678             16552989
       333     3302.45356793744             17486595
       334     3302.55131964809             18402630
       335     3302.64907135875             19258615
       336      3302.7468230694             20180751
       337     3302.84457478006             21673574
       338     3302.94232649071             22930080
       339     3303.04007820137             24170270
       340     3303.13782991202             25269948
       341     3303.23558162268             26678797
       342     3303.33333333333             28038589
