     index            Field [G]             Time [s]         Intensity []
      1986     3363.93939393939                111.1               -31620
      1987     3364.03714565005                111.1               -34892
      1988      3364.1348973607                111.1               -37068
      1989     3364.23264907136                111.1               -38894
      1990     3364.33040078201                111.1               -32543
      1991     3364.42815249267                111.1               -31329
      1992     3364.52590420332                111.1               -35554
      1993     3364.62365591398                111.1               -35134
      1994     3364.72140762463                111.1               -35618
      1995     3364.81915933529                111.1               -29790
      1996     3364.91691104594                111.1               -33399
      1997      3365.0146627566                111.1               -35004
      1998     3365.11241446725                111.1               -34128
      1999     3365.21016617791                111.1               -29935
      2000     3365.30791788856                111.1               -34372
      2001     3365.40566959922                111.1               -34059
      2002     3365.50342130987                111.1               -32343
      2003     3365.60117302053                111.1               -36699
      2004     3365.69892473118                111.1               -31624
      2005     3365.79667644184                111.1               -33831
      2006     3365.89442815249                111.1               -33913
      2007     3365.99217986315                111.1               -34533
      2008      3366.0899315738                111.1               -39173
      2009     3366.18768328446                111.1               -35562
      2010     3366.28543499511                111.1               -37723
      2011     3366.38318670577                111.1               -34691
      2012     3366.48093841642                111.1               -30772
      2013     3366.57869012708                111.1               -30811
      2014     3366.67644183773                111.1               -35247
      2015     3366.77419354839                111.1               -37267
      2016     3366.87194525904                111.1               -37520
      2017      3366.9696969697                111.1               -34799
      2018     3367.06744868035                111.1               -42120
      2019     3367.16520039101                111.1               -34759
      2020     3367.26295210166                111.1               -28955
      2021     3367.36070381232                111.1               -31653
      2022     3367.45845552297                111.1               -35709
      2023     3367.55620723363                111.1               -38154
      2024     3367.65395894428                111.1               -40976
      2025     3367.75171065494                111.1               -38745
      2026     3367.84946236559                111.1               -35417
      2027     3367.94721407625                111.1               -33096
      2028      3368.0449657869                111.1               -31280
      2029     3368.14271749756                111.1               -32852
      2030     3368.24046920821                111.1               -44251
      2031     3368.33822091887                111.1               -39188
      2032     3368.43597262952                111.1               -32344
      2033     3368.53372434018                111.1               -30890
      2034     3368.63147605083                111.1               -36046
      2035     3368.72922776149                111.1               -31014
      2036     3368.82697947214                111.1               -29569
      2037      3368.9247311828                111.1               -34671
      2038     3369.02248289345                111.1               -33818
      2039     3369.12023460411                111.1               -33949
      2040     3369.21798631476                111.1               -33665
      2041     3369.31573802542                111.1               -35162
      2042     3369.41348973607                111.1               -42012
      2043     3369.51124144673                111.1               -36947
      2044     3369.60899315738                111.1               -36917
      2045     3369.70674486804                111.1               -38280
      2046     3369.80449657869                111.1               -39801
      2047     3369.90224828935                111.1               -42197
      2048                 3370                111.1               -37619
      2049                 3270               217.75               -24701
      2050     3270.09775171065               217.75               -25748
      2051     3270.19550342131               217.75               -27218
      2052     3270.29325513196               217.75               -24651
      2053     3270.39100684262               217.75               -25268
      2054     3270.48875855327               217.75               -21687
      2055     3270.58651026393               217.75               -22526
      2056     3270.68426197458               217.75               -28760
      2057     3270.78201368524               217.75               -25418
      2058     3270.87976539589               217.75               -28874
      2059     3270.97751710655               217.75               -23861
      2060      3271.0752688172               217.75               -24660
      2061     3271.17302052786               217.75               -26234
      2062     3271.27077223851               217.75               -26782
      2063     3271.36852394917               217.75               -21651
      2064     3271.46627565982               217.75               -23885
      2065     3271.56402737048               217.75               -22297
      2066     3271.66177908113               217.75               -25276
      2067     3271.75953079179               217.75               -19543
      2068     3271.85728250244               217.75               -22114
      2069      3271.9550342131               217.75               -24129
      2070     3272.05278592375               217.75               -26739
      2071     3272.15053763441               217.75               -27555
      2072     3272.24828934506               217.75               -23128
      2073     3272.34604105572               217.75               -25533
      2074     3272.44379276637               217.75               -19618
      2075     3272.54154447703               217.75               -22672
      2076     3272.63929618768               217.75               -23050
      2077     3272.73704789834               217.75               -22727
      2078     3272.83479960899               217.75               -25658
      2079     3272.93255131965               217.75               -27002
      2080      3273.0303030303               217.75               -27180
      2081     3273.12805474096               217.75               -25583
      2082     3273.22580645161               217.75               -24902
      2083     3273.32355816227               217.75               -27138
      2084     3273.42130987292               217.75               -29196
      2085     3273.51906158358               217.75               -26245
      2086     3273.61681329423               217.75               -29414
      2087     3273.71456500489               217.75               -29361
      2088     3273.81231671554               217.75               -26034
      2089      3273.9100684262               217.75               -22471
      2090     3274.00782013685               217.75               -28642
      2091     3274.10557184751               217.75               -30933
      2092     3274.20332355816               217.75               -25900
      2093     3274.30107526882               217.75               -26846
      2094     3274.39882697947               217.75               -27714
      2095     3274.49657869013               217.75               -25248
      2096     3274.59433040078               217.75               -23352
      2097     3274.69208211144               217.75               -22128
      2098     3274.78983382209               217.75               -26486
      2099     3274.88758553275               217.75               -27316
      2100      3274.9853372434               217.75               -31923
      2101     3275.08308895406               217.75               -28204
      2102     3275.18084066471               217.75               -27683
      2103     3275.27859237537               217.75               -29147
      2104     3275.37634408602               217.75               -28592
      2105     3275.47409579668               217.75               -31154
      2106     3275.57184750733               217.75               -28870
      2107     3275.66959921799               217.75               -23565
      2108     3275.76735092864               217.75               -21859
      2109      3275.8651026393               217.75               -28581
      2110     3275.96285434995               217.75               -30165
      2111     3276.06060606061               217.75               -29152
      2112     3276.15835777126               217.75               -24629
      2113     3276.25610948192               217.75               -28785
      2114     3276.35386119257               217.75               -25529
      2115     3276.45161290323               217.75               -31911
      2116     3276.54936461388               217.75               -29314
      2117     3276.64711632454               217.75               -25338
      2118     3276.74486803519               217.75               -28329
      2119     3276.84261974585               217.75               -29251
      2120      3276.9403714565               217.75               -23557
      2121     3277.03812316716               217.75               -22068
      2122     3277.13587487781               217.75               -30052
      2123     3277.23362658847               217.75               -24492
      2124     3277.33137829912               217.75               -20971
      2125     3277.42913000978               217.75               -24478
      2126     3277.52688172043               217.75               -32470
      2127     3277.62463343108               217.75               -30135
      2128     3277.72238514174               217.75               -24153
      2129      3277.8201368524               217.75               -21767
      2130     3277.91788856305               217.75               -28176
      2131      3278.0156402737               217.75               -28728
      2132     3278.11339198436               217.75               -24602
      2133     3278.21114369501               217.75               -23848
      2134     3278.30889540567               217.75               -31187
      2135     3278.40664711632               217.75               -33485
      2136     3278.50439882698               217.75               -33212
      2137     3278.60215053763               217.75               -30067
      2138     3278.69990224829               217.75               -32679
      2139     3278.79765395894               217.75               -31438
      2140      3278.8954056696               217.75               -31396
      2141     3278.99315738025               217.75               -28498
      2142     3279.09090909091               217.75               -35592
      2143     3279.18866080156               217.75               -28355
      2144     3279.28641251222               217.75               -27729
      2145     3279.38416422287               217.75               -29793
      2146     3279.48191593353               217.75               -29606
      2147     3279.57966764418               217.75               -33717
      2148     3279.67741935484               217.75               -29893
      2149     3279.77517106549               217.75               -27184
      2150     3279.87292277615               217.75               -26231
      2151      3279.9706744868               217.75               -23817
      2152     3280.06842619746               217.75               -27594
      2153     3280.16617790811               217.75               -35531
      2154     3280.26392961877               217.75               -30287
      2155     3280.36168132942               217.75               -19611
      2156     3280.45943304008               217.75               -28197
      2157     3280.55718475073               217.75               -31305
      2158     3280.65493646139               217.75               -28350
      2159     3280.75268817204               217.75               -29149
      2160      3280.8504398827               217.75               -30225
      2161     3280.94819159335               217.75               -29142
      2162     3281.04594330401               217.75               -31973
      2163     3281.14369501466               217.75               -25872
      2164     3281.24144672532               217.75               -30100
      2165     3281.33919843597               217.75               -27329
      2166     3281.43695014663               217.75               -29387
      2167     3281.53470185728               217.75               -30542
      2168     3281.63245356794               217.75               -29114
      2169     3281.73020527859               217.75               -24028
      2170     3281.82795698925               217.75               -26353
      2171      3281.9257086999               217.75               -31522
      2172     3282.02346041056               217.75               -31007
      2173     3282.12121212121               217.75               -27095
      2174     3282.21896383187               217.75               -24074
      2175     3282.31671554252               217.75               -25212
      2176     3282.41446725318               217.75               -30883
      2177     3282.51221896383               217.75               -29160
      2178     3282.60997067449               217.75               -28313
      2179     3282.70772238514               217.75               -25906
      2180      3282.8054740958               217.75               -27125
      2181     3282.90322580645               217.75               -30022
      2182     3283.00097751711               217.75               -26659
      2183     3283.09872922776               217.75               -25438
      2184     3283.19648093842               217.75               -24076
      2185     3283.29423264907               217.75               -25594
      2186     3283.39198435973               217.75               -31807
      2187     3283.48973607038               217.75               -30912
      2188     3283.58748778104               217.75               -23725
      2189     3283.68523949169               217.75               -22377
      2190     3283.78299120235               217.75               -23845
      2191       3283.880742913               217.75               -26344
      2192     3283.97849462366               217.75               -25029
      2193     3284.07624633431               217.75               -30924
      2194     3284.17399804497               217.75               -30997
      2195     3284.27174975562               217.75               -30185
      2196     3284.36950146628               217.75               -25264
      2197     3284.46725317693               217.75               -22901
      2198     3284.56500488759               217.75               -25390
      2199     3284.66275659824               217.75               -29286
      2200      3284.7605083089               217.75               -28504
      2201     3284.85826001955               217.75               -26396
      2202     3284.95601173021               217.75               -28647
      2203     3285.05376344086               217.75               -28660
      2204     3285.15151515152               217.75               -25857
      2205     3285.24926686217               217.75               -22189
      2206     3285.34701857283               217.75               -29569
      2207     3285.44477028348               217.75               -27960
      2208     3285.54252199413               217.75               -24097
      2209     3285.64027370479               217.75               -28057
      2210     3285.73802541544               217.75               -31821
      2211      3285.8357771261               217.75               -30823
      2212     3285.93352883675               217.75               -24385
      2213     3286.03128054741               217.75               -23714
      2214     3286.12903225806               217.75               -23748
      2215     3286.22678396872               217.75               -30442
      2216     3286.32453567937               217.75               -29959
      2217     3286.42228739003               217.75               -24476
      2218     3286.52003910068               217.75               -23963
      2219     3286.61779081134               217.75               -26335
      2220     3286.71554252199               217.75               -29673
      2221     3286.81329423265               217.75               -27231
      2222      3286.9110459433               217.75               -28002
      2223     3287.00879765396               217.75               -28290
      2224     3287.10654936461               217.75               -22018
      2225     3287.20430107527               217.75               -22901
      2226     3287.30205278592               217.75               -31213
      2227     3287.39980449658               217.75               -31274
      2228     3287.49755620723               217.75               -34265
      2229     3287.59530791789               217.75               -35219
      2230     3287.69305962854               217.75               -32231
      2231      3287.7908113392               217.75               -29766
      2232     3287.88856304985               217.75               -23299
      2233     3287.98631476051               217.75               -32894
      2234     3288.08406647116               217.75               -27438
      2235     3288.18181818182               217.75               -26340
      2236     3288.27956989247               217.75               -25711
      2237     3288.37732160313               217.75               -30137
      2238     3288.47507331378               217.75               -25186
      2239     3288.57282502444               217.75               -18614
      2240     3288.67057673509               217.75               -26977
      2241     3288.76832844575               217.75               -33437
      2242      3288.8660801564               217.75               -30472
      2243     3288.96383186706               217.75               -29136
      2244     3289.06158357771               217.75               -28683
      2245     3289.15933528837               217.75               -31185
      2246     3289.25708699902               217.75               -23849
      2247     3289.35483870968               217.75               -19822
      2248     3289.45259042033               217.75               -28920
      2249     3289.55034213099               217.75               -28676
      2250     3289.64809384164               217.75               -25389
      2251      3289.7458455523               217.75               -23672
      2252     3289.84359726295               217.75               -26587
      2253     3289.94134897361               217.75               -27853
      2254     3290.03910068426               217.75               -27795
      2255     3290.13685239492               217.75               -28064
      2256     3290.23460410557               217.75               -30767
      2257     3290.33235581623               217.75               -29600
      2258     3290.43010752688               217.75               -33449
      2259     3290.52785923754               217.75               -27978
      2260     3290.62561094819               217.75               -27210
      2261     3290.72336265885               217.75               -32005
      2262      3290.8211143695               217.75               -29877
      2263     3290.91886608016               217.75               -29330
      2264     3291.01661779081               217.75               -28871
      2265     3291.11436950147               217.75               -28156
      2266     3291.21212121212               217.75               -36124
      2267     3291.30987292278               217.75               -33220
      2268     3291.40762463343               217.75               -23436
      2269     3291.50537634409               217.75               -29430
      2270     3291.60312805474               217.75               -32733
      2271      3291.7008797654               217.75               -27904
      2272     3291.79863147605               217.75               -29909
      2273     3291.89638318671               217.75               -31735
      2274     3291.99413489736               217.75               -28479
      2275     3292.09188660802               217.75               -26590
      2276     3292.18963831867               217.75               -29545
      2277     3292.28739002933               217.75               -27994
      2278     3292.38514173998               217.75               -31698
      2279     3292.48289345064               217.75               -24245
      2280     3292.58064516129               217.75               -27896
      2281     3292.67839687195               217.75               -25953
      2282      3292.7761485826               217.75               -28421
      2283     3292.87390029326               217.75               -30304
      2284     3292.97165200391               217.75               -26579
      2285     3293.06940371456               217.75               -29576
      2286     3293.16715542522               217.75               -28625
      2287     3293.26490713588               217.75               -29880
      2288     3293.36265884653               217.75               -26148
      2289     3293.46041055718               217.75               -28012
      2290     3293.55816226784               217.75               -24978
      2291     3293.65591397849               217.75               -26914
      2292     3293.75366568915               217.75               -25249
      2293      3293.8514173998               217.75               -23821
      2294     3293.94916911046               217.75               -30274
      2295     3294.04692082111               217.75               -26780
      2296     3294.14467253177               217.75               -24847
      2297     3294.24242424242               217.75               -25769
      2298     3294.34017595308               217.75               -28322
      2299     3294.43792766373               217.75               -28191
      2300     3294.53567937439               217.75               -25475
      2301     3294.63343108504               217.75               -28729
      2302      3294.7311827957               217.75               -27745
      2303     3294.82893450635               217.75               -24507
      2304     3294.92668621701               217.75               -24060
      2305     3295.02443792766               217.75               -30158
      2306     3295.12218963832               217.75               -23095
      2307     3295.21994134897               217.75               -23865
      2308     3295.31769305963               217.75               -29174
      2309     3295.41544477028               217.75               -29344
      2310     3295.51319648094               217.75               -28995
      2311     3295.61094819159               217.75               -27919
      2312     3295.70869990225               217.75               -26413
      2313      3295.8064516129               217.75               -21345
      2314     3295.90420332356               217.75               -23521
      2315     3296.00195503421               217.75               -30691
      2316     3296.09970674487               217.75               -33288
      2317     3296.19745845552               217.75               -29627
      2318     3296.29521016618               217.75               -31866
      2319     3296.39296187683               217.75               -29829
      2320     3296.49071358749               217.75               -19790
      2321     3296.58846529814               217.75               -30095
      2322      3296.6862170088               217.75               -32413
      2323     3296.78396871945               217.75               -24769
      2324     3296.88172043011               217.75               -27787
      2325     3296.97947214076               217.75               -25036
      2326     3297.07722385142               217.75               -24976
      2327     3297.17497556207               217.75               -32952
      2328     3297.27272727273               217.75               -25642
      2329     3297.37047898338               217.75               -25130
      2330     3297.46823069404               217.75               -27822
      2331     3297.56598240469               217.75               -24885
      2332     3297.66373411535               217.75               -26838
      2333       3297.761485826               217.75               -25129
      2334     3297.85923753666               217.75               -21681
      2335     3297.95698924731               217.75               -28187
      2336     3298.05474095797               217.75               -33257
      2337     3298.15249266862               217.75               -28485
      2338     3298.25024437928               217.75               -25340
      2339     3298.34799608993               217.75               -23308
      2340     3298.44574780059               217.75               -23302
      2341     3298.54349951124               217.75               -25157
      2342      3298.6412512219               217.75               -22070
      2343     3298.73900293255               217.75               -20427
      2344     3298.83675464321               217.75               -21076
      2345     3298.93450635386               217.75               -21148
      2346     3299.03225806452               217.75               -13453
      2347     3299.13000977517               217.75               -11069
      2348     3299.22776148583               217.75               -15550
      2349     3299.32551319648               217.75                -7311
      2350     3299.42326490714               217.75                -7233
      2351     3299.52101661779               217.75                -8474
      2352     3299.61876832845               217.75                -1823
      2353      3299.7165200391               217.75                 4008
      2354     3299.81427174976               217.75                 4121
      2355     3299.91202346041               217.75                 5993
      2356     3300.00977517107               217.75                16195
      2357     3300.10752688172               217.75                20998
      2358     3300.20527859238               217.75                32623
      2359     3300.30303030303               217.75                31062
      2360     3300.40078201369               217.75                34544
      2361     3300.49853372434               217.75                39800
      2362       3300.596285435               217.75                43312
      2363     3300.69403714565               217.75                47693
      2364     3300.79178885631               217.75                47577
      2365     3300.88954056696               217.75                47173
      2366     3300.98729227761               217.75                42940
      2367     3301.08504398827               217.75                43666
      2368     3301.18279569892               217.75                45063
      2369     3301.28054740958               217.75                50293
      2370     3301.37829912023               217.75                53973
      2371     3301.47605083089               217.75                59768
      2372     3301.57380254154               217.75                50352
      2373      3301.6715542522               217.75                52965
      2374     3301.76930596285               217.75                66590
      2375     3301.86705767351               217.75                71035
      2376     3301.96480938416               217.75                80754
      2377     3302.06256109482               217.75               100709
      2378     3302.16031280547               217.75               118907
      2379     3302.25806451613               217.75               139059
      2380     3302.35581622678               217.75               161541
      2381     3302.45356793744               217.75               198103
      2382     3302.55131964809               217.75               242873
      2383     3302.64907135875               217.75               298007
      2384      3302.7468230694               217.75               374091
      2385     3302.84457478006               217.75               459700
      2386     3302.94232649071               217.75               571656
      2387     3303.04007820137               217.75               716170
      2388     3303.13782991202               217.75               888405
      2389     3303.23558162268               217.75              1098855
      2390     3303.33333333333               217.75              1333864
      2391     3303.43108504399               217.75              1601185
      2392     3303.52883675464               217.75              1898131
      2393      3303.6265884653               217.75              2215384
      2394     3303.72434017595               217.75              2567886
      2395     3303.82209188661               217.75              2915143
      2396     3303.91984359726               217.75              3239493
      2397     3304.01759530792               217.75              3528272
      2398     3304.11534701857               217.75              3776647
      2399     3304.21309872923               217.75              3965259
      2400     3304.31085043988               217.75              4067687
      2401     3304.40860215054               217.75              4044941
      2402     3304.50635386119               217.75              3909777
      2403     3304.60410557185               217.75              3669787
      2404      3304.7018572825               217.75              3313504
      2405     3304.79960899316               217.75              2834281
      2406     3304.89736070381               217.75              2251582
      2407     3304.99511241447               217.75              1586220
      2408     3305.09286412512               217.75               868379
      2409     3305.19061583578               217.75               131234
      2410     3305.28836754643               217.75              -603049
      2411     3305.38611925709               217.75             -1326875
      2412     3305.48387096774               217.75             -2007559
      2413      3305.5816226784               217.75             -2583908
      2414     3305.67937438905               217.75             -3051643
      2415     3305.77712609971               217.75             -3420270
      2416     3305.87487781036               217.75             -3685451
      2417     3305.97262952102               217.75             -3842312
      2418     3306.07038123167               217.75             -3868101
      2419     3306.16813294233               217.75             -3792918
      2420     3306.26588465298               217.75             -3638716
      2421     3306.36363636364               217.75             -3430750
      2422     3306.46138807429               217.75             -3175162
      2423     3306.55913978495               217.75             -2877294
      2424      3306.6568914956               217.75             -2562629
      2425     3306.75464320626               217.75             -2249593
      2426     3306.85239491691               217.75             -1952790
      2427     3306.95014662757               217.75             -1671994
      2428     3307.04789833822               217.75             -1421269
      2429     3307.14565004888               217.75             -1190093
      2430     3307.24340175953               217.75              -997196
